"issueKey","rule","severity","type","status","component","line","message","effort","tags","createdAt","updatedAt"
"AZxGGBQY1a6jXngCKKSc","csharpsquid:S1172","MAJOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/OrganizationGenerator.cs","199","Remove this unused method parameter 'seed'.","5min","unused","2026-02-10T05:48:00+0000","2026-02-10T05:48:00+0000"
"AZxGGBVD1a6jXngCKKTw","csharpsquid:S1144","MAJOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:UserControls/StepCharacters.cs","564","Remove the unused private property 'FullName'.","2min","unused","2026-02-10T05:48:00+0000","2026-02-10T05:48:00+0000"
"AZxGGBVD1a6jXngCKKTx","csharpsquid:S1144","MAJOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:UserControls/StepCharacters.cs","588","Remove the unused private property 'Email'.","2min","unused","2026-02-10T05:48:00+0000","2026-02-10T05:48:00+0000"
"AZxGGBVD1a6jXngCKKTy","csharpsquid:S1144","MAJOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:UserControls/StepCharacters.cs","594","Remove the unused private property 'Personality'.","2min","unused","2026-02-10T05:48:00+0000","2026-02-10T05:48:00+0000"
"AZxGGBUS1a6jXngCKKTs","csharpsquid:S1144","MAJOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:UserControls/StepWorldModel.cs","856","Remove the unused private property 'Organization'.","2min","unused","2026-02-10T05:48:00+0000","2026-02-10T05:48:00+0000"
"AZxGGBUS1a6jXngCKKTt","csharpsquid:S1144","MAJOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:UserControls/StepWorldModel.cs","858","Remove the unused private property 'Department'.","2min","unused","2026-02-10T05:48:00+0000","2026-02-10T05:48:00+0000"
"AZxGGBUS1a6jXngCKKTu","csharpsquid:S1144","MAJOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:UserControls/StepWorldModel.cs","860","Remove the unused private property 'Role'.","2min","unused","2026-02-10T05:48:00+0000","2026-02-10T05:48:00+0000"
"AZxGGBO01a6jXngCKKSZ","external_roslyn:CA1859","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Models/AIModelConfig.cs","237","Change type of parameter 'configs' from 'System.Collections.Generic.IList<EvidenceFoundry.Models.AIModelConfig>' to 'System.Collections.Generic.List<EvidenceFoundry.Models.AIModelConfig>' for improved performance","0min","","2026-02-10T05:14:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBRb1a6jXngCKKS1","external_roslyn:CA1859","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/CharacterGenerator.cs","455","Change type of parameter 'roleLookup' from 'System.Collections.Generic.IReadOnlyDictionary<EvidenceFoundry.Models.RoleName, System.Collections.Generic.List<(EvidenceFoundry.Models.Role Role, EvidenceFoundry.Models.Department Department)>>' to 'System.Collections.Generic.Dictionary<EvidenceFoundry.Models.RoleName, System.Collections.Generic.List<(EvidenceFoundry.Models.Role Role, EvidenceFoundry.Models.Department Department)>>' for improved performance","0min","","2026-02-10T05:14:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBRb1a6jXngCKKS3","external_roslyn:CA1859","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/CharacterGenerator.cs","572","Change type of parameter 'characterLookup' from 'System.Collections.Generic.IReadOnlyDictionary<string, EvidenceFoundry.Models.Character>' to 'System.Collections.Generic.Dictionary<string, EvidenceFoundry.Models.Character>' for improved performance","0min","","2026-02-10T05:14:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBRb1a6jXngCKKS2","external_roslyn:CA1859","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/CharacterGenerator.cs","588","Change type of parameter 'plotRelevance' from 'System.Collections.Generic.IReadOnlyDictionary<string, string>?' to 'System.Collections.Generic.Dictionary<string, string>?' for improved performance","0min","","2026-02-10T05:14:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBQY1a6jXngCKKSi","external_roslyn:CA1859","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/OrganizationGenerator.cs","339","Change type of parameter 'target' from 'System.Collections.Generic.ICollection<EvidenceFoundry.Models.Department>' to 'System.Collections.Generic.List<EvidenceFoundry.Models.Department>' for improved performance","0min","","2026-02-10T05:14:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBQY1a6jXngCKKSh","external_roslyn:CA1859","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/OrganizationGenerator.cs","357","Change type of parameter 'target' from 'System.Collections.Generic.ICollection<EvidenceFoundry.Models.Role>' to 'System.Collections.Generic.List<EvidenceFoundry.Models.Role>' for improved performance","0min","","2026-02-10T05:14:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBSE1a6jXngCKKS_","external_roslyn:CA1859","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/RoleGenerator.cs","59","Change type of parameter 'executiveRoles' from 'System.Collections.Generic.IDictionary<EvidenceFoundry.Models.RoleName, EvidenceFoundry.Models.Role>' to 'System.Collections.Generic.Dictionary<EvidenceFoundry.Models.RoleName, EvidenceFoundry.Models.Role>' for improved performance","0min","","2026-02-10T05:14:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBSi1a6jXngCKKTD","external_roslyn:CA1510","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/StoryBeatGenerator.cs","101","Use 'ArgumentNullException.ThrowIfNull' instead of explicitly throwing a new exception instance","0min","","2026-02-10T05:14:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBVb1a6jXngCKKTz","external_roslyn:CA1859","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:UserControls/StepGeneration.cs","212","Change return type of method 'BuildProgressReporter' from 'System.IProgress<EvidenceFoundry.Models.GenerationProgress>' to 'System.Progress<EvidenceFoundry.Models.GenerationProgress>' for improved performance","0min","","2026-02-10T05:14:36+0000","2026-02-10T05:48:00+0000"
"AZxIbfqvoCkCvYfP7rEg","external_roslyn:CA1859","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:EvidenceFoundry.Tests/EmailGeneratorRetryTests.cs","122","Change type of parameter 'characters' from 'System.Collections.Generic.IReadOnlyList<EvidenceFoundry.Models.Character>' to 'System.Collections.Generic.List<EvidenceFoundry.Models.Character>' for improved performance","0min","","2026-02-10T03:07:36+0000","2026-02-10T16:41:03+0000"
"AZxFlRLDD8AIjSwy0Ijo","csharpsquid:S1192","MINOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Helpers/ApiKeyStore.cs","18","Define a constant instead of using this literal 'EvidenceFoundry' 4 times.","4min","design","2026-02-10T03:07:36+0000","2026-02-10T03:25:11+0000"
"AZxGGBW_1a6jXngCKKT_","external_roslyn:CA1510","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Helpers/DateHelper.cs","104","Use 'ArgumentNullException.ThrowIfNull' instead of explicitly throwing a new exception instance","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxFlRLnD8AIjSwy0Ij5","csharpsquid:S2583","MAJOR","BUG","OPEN","Sevrak-LLC_evidence-foundry:Helpers/DateHelper.cs","142","Change this condition so that it does not always evaluate to 'True'. Some code paths are unreachable.","15min","cwe;pitfall;suspicious;symbolic-execution;unused","2026-02-10T03:07:36+0000","2026-02-10T03:25:11+0000"
"AZxGGBW_1a6jXngCKKUF","external_roslyn:CA1859","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Helpers/DateHelper.cs","191","Change type of parameter 'notes' from 'System.Collections.Generic.ICollection<string>' to 'System.Collections.Generic.List<string>' for improved performance","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBW_1a6jXngCKKUE","external_roslyn:CA1859","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Helpers/DateHelper.cs","213","Change type of parameter 'notes' from 'System.Collections.Generic.ICollection<string>' to 'System.Collections.Generic.List<string>' for improved performance","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBW_1a6jXngCKKUA","external_roslyn:SYSLIB1045","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Helpers/DateHelper.cs","236","Use 'GeneratedRegexAttribute' to generate the regular expression implementation at compile-time.","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBW_1a6jXngCKKUB","external_roslyn:SYSLIB1045","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Helpers/DateHelper.cs","239","Use 'GeneratedRegexAttribute' to generate the regular expression implementation at compile-time.","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBW_1a6jXngCKKUC","external_roslyn:CA1510","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Helpers/DateHelper.cs","438","Use 'ArgumentNullException.ThrowIfNull' instead of explicitly throwing a new exception instance","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBW_1a6jXngCKKUD","external_roslyn:CA1510","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Helpers/DateHelper.cs","473","Use 'ArgumentNullException.ThrowIfNull' instead of explicitly throwing a new exception instance","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBV61a6jXngCKKT0","external_roslyn:SYSLIB1045","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Helpers/EmailAddressHelper.cs","11","Use 'GeneratedRegexAttribute' to generate the regular expression implementation at compile-time.","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxFlRKtD8AIjSwy0Ijl","csharpsquid:S3267","MINOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Helpers/EmailAddressHelper.cs","61","Loops should be simplified using the ""Where"" LINQ method","5min","","2026-02-10T03:07:36+0000","2026-02-10T03:25:11+0000"
"AZxIbfzRoCkCvYfP7rEp","external_roslyn:CA2263","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Helpers/EnumHelper.cs","35","Prefer the generic overload 'System.Enum.GetNames<TEnum>()' instead of 'System.Enum.GetNames(System.Type)'","0min","","2026-02-10T03:07:36+0000","2026-02-10T16:41:03+0000"
"AZxGGBO01a6jXngCKKSW","external_roslyn:SYSLIB1045","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Models/AIModelConfig.cs","12","Use 'GeneratedRegexAttribute' to generate the regular expression implementation at compile-time.","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBO01a6jXngCKKSX","external_roslyn:CA1869","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Models/AIModelConfig.cs","89","Avoid creating a new 'JsonSerializerOptions' instance for every serialization operation. Cache and reuse instances instead.","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBO01a6jXngCKKSY","external_roslyn:CA1869","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Models/AIModelConfig.cs","159","Avoid creating a new 'JsonSerializerOptions' instance for every serialization operation. Cache and reuse instances instead.","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBK41a6jXngCKKSR","external_roslyn:CA1869","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Models/CaseIssueCatalog.cs","50","Avoid creating a new 'JsonSerializerOptions' instance for every serialization operation. Cache and reuse instances instead.","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBOF1a6jXngCKKSS","external_roslyn:CA1869","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Models/EmailThreadTopicCatalog.cs","73","Avoid creating a new 'JsonSerializerOptions' instance for every serialization operation. Cache and reuse instances instead.","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBOF1a6jXngCKKST","external_roslyn:CA1859","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Models/EmailThreadTopicCatalog.cs","86","Change return type of method 'GetTopicsInternal' from 'System.Collections.Generic.IReadOnlyList<string>' to 'System.Collections.Generic.List<string>' for improved performance","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxFlRFQD8AIjSwy0If9","csharpsquid:S1066","MAJOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Models/EmailThreadTopicCatalog.cs","105","Merge this if statement with the enclosing one.","5min","clumsy","2026-02-10T03:07:36+0000","2026-02-10T03:25:11+0000"
"AZxGGBOF1a6jXngCKKSU","external_roslyn:CA1859","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Models/EmailThreadTopicCatalog.cs","148","Change return type of method 'BuildTopicList' from 'System.Collections.Generic.IReadOnlyList<string>' to 'System.Collections.Generic.List<string>' for improved performance","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBOl1a6jXngCKKSV","external_roslyn:CA1869","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Models/OrganizationStructureCatalog.cs","39","Avoid creating a new 'JsonSerializerOptions' instance for every serialization operation. Cache and reuse instances instead.","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBRb1a6jXngCKKSs","external_roslyn:CA1869","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/CharacterGenerator.cs","238","Avoid creating a new 'JsonSerializerOptions' instance for every serialization operation. Cache and reuse instances instead.","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBRb1a6jXngCKKSv","external_roslyn:CA1510","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/CharacterGenerator.cs","295","Use 'ArgumentNullException.ThrowIfNull' instead of explicitly throwing a new exception instance","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBRb1a6jXngCKKSt","external_roslyn:CA1869","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/CharacterGenerator.cs","337","Avoid creating a new 'JsonSerializerOptions' instance for every serialization operation. Cache and reuse instances instead.","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBRb1a6jXngCKKSu","external_roslyn:CA1869","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/CharacterGenerator.cs","343","Avoid creating a new 'JsonSerializerOptions' instance for every serialization operation. Cache and reuse instances instead.","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBRb1a6jXngCKKSw","external_roslyn:CA1510","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/CharacterGenerator.cs","423","Use 'ArgumentNullException.ThrowIfNull' instead of explicitly throwing a new exception instance","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBRb1a6jXngCKKSx","external_roslyn:CA1510","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/CharacterGenerator.cs","424","Use 'ArgumentNullException.ThrowIfNull' instead of explicitly throwing a new exception instance","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBRb1a6jXngCKKSy","external_roslyn:CA1510","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/CharacterGenerator.cs","425","Use 'ArgumentNullException.ThrowIfNull' instead of explicitly throwing a new exception instance","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBRb1a6jXngCKKSz","external_roslyn:CA1869","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/CharacterGenerator.cs","636","Avoid creating a new 'JsonSerializerOptions' instance for every serialization operation. Cache and reuse instances instead.","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxFlRHvD8AIjSwy0Igj","csharpsquid:S3267","MINOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/CharacterGenerator.cs","644","Loops should be simplified using the ""Where"" LINQ method","5min","","2026-02-10T03:07:36+0000","2026-02-10T03:25:11+0000"
"AZxFlRHvD8AIjSwy0Igc","csharpsquid:S3260","MINOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/CharacterGenerator.cs","655","Private classes which are not derived in the current assembly should be marked as 'sealed'.","5min","performance","2026-02-10T03:07:36+0000","2026-02-10T03:25:11+0000"
"AZxFlRHvD8AIjSwy0Igd","csharpsquid:S3260","MINOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/CharacterGenerator.cs","682","Private classes which are not derived in the current assembly should be marked as 'sealed'.","5min","performance","2026-02-10T03:07:36+0000","2026-02-10T03:25:11+0000"
"AZxFlRHvD8AIjSwy0Ige","csharpsquid:S3260","MINOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/CharacterGenerator.cs","688","Private classes which are not derived in the current assembly should be marked as 'sealed'.","5min","performance","2026-02-10T03:07:36+0000","2026-02-10T03:25:11+0000"
"AZxFlRHvD8AIjSwy0Igf","csharpsquid:S3260","MINOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/CharacterGenerator.cs","706","Private classes which are not derived in the current assembly should be marked as 'sealed'.","5min","performance","2026-02-10T03:07:36+0000","2026-02-10T03:25:11+0000"
"AZxFlRIID8AIjSwy0Ih9","csharpsquid:S1118","MAJOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/DepartmentGenerator.cs","7","Add a 'protected' constructor or the 'static' keyword to the class declaration.","10min","design","2026-02-10T03:07:36+0000","2026-02-10T03:25:11+0000"
"AZxGGBSS1a6jXngCKKTA","external_roslyn:CA1869","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/DepartmentGenerator.cs","82","Avoid creating a new 'JsonSerializerOptions' instance for every serialization operation. Cache and reuse instances instead.","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBSS1a6jXngCKKTB","external_roslyn:CA1869","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/DepartmentGenerator.cs","94","Avoid creating a new 'JsonSerializerOptions' instance for every serialization operation. Cache and reuse instances instead.","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxGGBSS1a6jXngCKKTC","external_roslyn:CA1869","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/DepartmentGenerator.cs","115","Avoid creating a new 'JsonSerializerOptions' instance for every serialization operation. Cache and reuse instances instead.","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxFlRItD8AIjSwy0Iie","csharpsquid:S3776","CRITICAL","CODE_SMELL","CLOSED","Sevrak-LLC_evidence-foundry:Services/EmailGenerator.cs","349","Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.","6min","brain-overload","2026-02-10T03:07:36+0000","2026-02-10T03:25:11+0000"
"AZxFlRItD8AIjSwy0Iik","csharpsquid:S107","MAJOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/EmailGenerator.cs","349","Method has 8 parameters, which is greater than the 7 authorized.","20min","brain-overload","2026-02-10T03:07:36+0000","2026-02-10T03:25:11+0000"
"AZxGGBTc1a6jXngCKKTq","external_roslyn:CA1859","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/EmailGenerator.cs","350","Change type of parameter 'threads' from 'System.Collections.Generic.IReadOnlyList<EvidenceFoundry.Models.EmailThread>' to 'System.Collections.Generic.List<EvidenceFoundry.Models.EmailThread>' for improved performance","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxFlRItD8AIjSwy0Iid","csharpsquid:S3776","CRITICAL","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/EmailGenerator.cs","494","Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.","6min","brain-overload","2026-02-10T03:07:36+0000","2026-02-10T03:25:11+0000"
"AZxFlRItD8AIjSwy0Iif","csharpsquid:S3267","MINOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/EmailGenerator.cs","509","Loops should be simplified using the ""Where"" LINQ method","5min","","2026-02-10T03:07:36+0000","2026-02-10T03:25:11+0000"
"AZxFlRItD8AIjSwy0Iin","csharpsquid:S107","MAJOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/EmailGenerator.cs","611","Method has 16 parameters, which is greater than the 7 authorized.","20min","brain-overload","2026-02-10T03:07:36+0000","2026-02-10T03:25:11+0000"
"AZxGGBTc1a6jXngCKKTp","external_roslyn:CA1859","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/EmailGenerator.cs","615","Change type of parameter 'beats' from 'System.Collections.Generic.IReadOnlyList<EvidenceFoundry.Models.StoryBeat>' to 'System.Collections.Generic.List<EvidenceFoundry.Models.StoryBeat>' for improved performance","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxFlRItD8AIjSwy0Iig","csharpsquid:S2325","MINOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/EmailGenerator.cs","1075","Make 'SaveThreadAsync' a static method.","5min","pitfall","2026-02-10T03:07:36+0000","2026-02-10T03:25:11+0000"
"AZxFlRItD8AIjSwy0Iij","csharpsquid:S107","MAJOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/EmailGenerator.cs","1075","Method has 10 parameters, which is greater than the 7 authorized.","20min","brain-overload","2026-02-10T03:07:36+0000","2026-02-10T03:25:11+0000"
"AZxGGBTc1a6jXngCKKTl","external_roslyn:CA1822","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/EmailGenerator.cs","1075","Member 'SaveThreadAsync' does not access instance data and can be marked as static","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
"AZxFlRItD8AIjSwy0Iih","csharpsquid:S3776","CRITICAL","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/EmailGenerator.cs","1132","Refactor this method to reduce its Cognitive Complexity from 26 to the 15 allowed.","6min","brain-overload","2026-02-10T03:07:36+0000","2026-02-10T03:25:11+0000"
"AZxFlRItD8AIjSwy0Iim","csharpsquid:S107","MAJOR","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/EmailGenerator.cs","1132","Method has 13 parameters, which is greater than the 7 authorized.","20min","brain-overload","2026-02-10T03:07:36+0000","2026-02-10T03:25:11+0000"
"AZxGGBTc1a6jXngCKKTh","external_roslyn:CA1510","INFO","CODE_SMELL","OPEN","Sevrak-LLC_evidence-foundry:Services/EmailGenerator.cs","1147","Use 'ArgumentNullException.ThrowIfNull' instead of explicitly throwing a new exception instance","0min","","2026-02-10T03:07:36+0000","2026-02-10T05:48:00+0000"
